376217,Berlin,location,52.52437,52.52437
448103,Berlingo,location,45.50298,45.50298
425332,Berlingerode,location,51.45775,51.45775
425326,Bernau bei Berlin,location,52.67982,52.67982
314827,Berlin Sch̦nefeld,airport,52.3887261,52.3887261
314826,Berlin Tegel,airport,52.5548,52.5548
376460,Frankfurt am Main,location,50.11552,50.11552
413567,Frankfurt (Oder),location,52.34714,52.34714
314847,Frankfurt,airport,50.05009,50.05009
385208,Delhi,location,28.65381,28.65381
462342,Delhi,location,37.43216,37.43216
460670,Delhi Hills,location,39.09284,39.09284
372325,Delhi,location,42.85,42.85
386467,New Delhi,location,28.63576,28.63576
315341,Delhi,airport,28.55655,28.55655
